Date,GDP251  ,PI074   ,FYFF    ,PSCCOMR ,FMRNBA  ,FMRRA   ,FM2,GDP252  ,IPS10   ,UTL11   ,LHUR    ,HSFR    ,PWFSA   ,GDP273  ,CES275R  ,FM1     ,FSPIN   ,FYGT10  ,EXRUS   ,CES002  ,Sfygt10,HHSNTN  ,PMI     ,PMDEL   ,PMCP    ,GDP256  ,LBOUT   ,PMNV    ,GDP263  ,GDP264  ,GDP265  ,LBMNU   ,PMNO    ,CCINRV  ,BUSLOANS,PMP     ,GDP276_1,GDP270  ,GDP253  ,LHEL    
8\1\1959,-0.000329978,0.001488916,0.493333333,-0.007570839,0.008627233,0.005680284,-0.000582734,0.004857952,-0.018137262,80.49876667,0.166666667,3.177728836,-0.001744155,0.00116584,-0.001570674,-0.000644933,0.010267268,0.246666667,0.001596825,-0.000427776,0.963333333,-0.533333333,54.96666667,58,61.03333333,-0.031619318,0.002610933,51.73333333,0.013487358,0.004688452,0.005418416,-0.001277755,53.13333333,0.003076831,0.003759855,57.7,-0.00120794,0.005053166,0.008791369,2.333333333
11\1\1959,0.001526215,0.000383034,0.413333333,-0.010176428,0.003427473,-0.005818345,-0.004344326,0.000615082,0.002072806,80.07566667,0.333333333,3.163558899,-0.000877349,9.68E-06,-0.000916839,-0.006880452,-0.007222205,0.08,0.000164854,0.000883818,0.353333333,0.2,52.83333333,55.6,63.93333333,0.014306794,0.001124452,43.86666667,-0.012008907,-0.011313305,-0.004738712,6.40E-05,54.63333333,-0.000185489,-0.008727423,54.66666667,0.000923043,-0.001508029,-0.022648721,-1
2\1\1960,0.009554727,-0.002226119,-0.056666667,-0.005149598,-0.001055187,-0.003578336,0.00077088,0.00389388,0.025425753,84.4715,-0.466666667,3.132686515,0.00393511,-0.001399654,0.009012758,0.002561108,-0.012983368,-0.096666667,9.61E-05,0.005809909,0.613333333,6.1,53.86666667,35.56666667,60.66666667,0.045398491,0.011664848,51.86666667,0.05149404,0.016012385,-0.008728293,0.0026715,56.7,-0.005745757,0.004165431,60.96666667,-0.001471291,0.00281891,0.014530831,0.333333333
5\1\1960,-0.00217326,0.002208049,-0.236666667,0.005802768,0.008811439,0.002435626,0.001191685,0.005320504,-0.009527024,81.318,0.1,3.103461622,0.000422699,0.001551442,-0.000450518,0.00030766,-0.002944053,-0.226666667,0.00257401,0.000458939,1.266666667,-3.833333333,44.1,32,56.66666667,-0.046746273,-0.008799449,43.96666667,0.026691858,0.002783173,0.003503935,0.000769344,49,0.001585818,-0.001412723,47.76666667,-2.84E-06,0.002818071,0.009901443,-2.666666667
8\1\1960,0.000680313,-0.002357504,-0.76,-0.005606655,0.011304633,0.013190815,0.004196956,-0.001790682,-0.007200843,78.8989,0.3,3.08374144,-0.002175172,-0.000680381,0.000211713,0.004957871,-0.00533541,-0.426666667,-0.000696762,-0.002640805,1.473333333,-1.966666667,45.56666667,37.03333333,49.63333333,-0.002679881,0.00087376,40.6,-0.011081002,-0.013102068,0.010386616,-0.002468131,50.6,-0.004717759,-0.007512933,49.5,0.000894498,-0.000642024,-0.003457437,-2.666666667
11\1\1960,-0.005661928,0.002535042,-0.64,-0.013177318,-0.004862307,-0.002568499,-0.001388451,0.000494088,-0.010597387,75.85226667,0.733333333,3.07371835,0.002587229,0.00030493,0.001188746,-0.004231109,-0.002852842,0.053333333,0.000792309,-0.00368542,1.58,-3.133333333,44.86666667,38.06666667,46.16666667,-0.057071267,-0.003344045,40.23333333,0.008969897,-0.020946952,0.002963566,-0.004054295,48.6,-0.001427913,0.000996829,48.1,-0.00023806,0.000728711,-0.011821225,-3.666666667
2\1\1961,0.002609208,-0.001905603,-0.293333333,0.008658896,-0.013907086,-0.008342763,0.001147871,-3.66E-05,-0.00662531,73.8284,0.533333333,3.093538415,-0.003450648,-0.001293079,-7.62E-05,0.002358811,0.048355324,-0.1,0.000518316,-0.003504807,1.436666667,1.066666667,45.53333333,40.8,49.86666667,0.010646725,0.004571469,38.66666667,-0.003056053,-0.002157908,0.005634379,-0.002440791,50.36666667,-0.001422171,-0.001412408,50.63333333,-0.00085153,0.000467812,-0.026353989,-1.333333333
5\1\1961,0.008087781,-0.001019691,-0.27,0.005337029,-0.004824904,-0.004099525,0.000504565,0.006463159,0.016884942,76.35433333,0.2,3.099910731,-0.003460959,-0.000809318,0.005784282,0.001005984,0.027208432,0.003333333,-0.000941612,0.000854001,1.486666667,2.666666667,58.2,48.23333333,52.26666667,0.031455329,0.014791049,42.43333333,-0.006071951,0.005471909,0.000980817,-0.001016248,65.5,-0.006626433,-0.001379618,64.53333333,0.001318192,0.005232734,0.009102566,1.333333333
8\1\1961,0.006982189,0.001840801,-0.05,-0.008078665,0.010753438,0.010620687,-0.00067244,0.002103299,0.013640241,78.4144,-0.233333333,3.133112921,0.003891166,0.001656334,0.002797482,-0.000628105,0.004681298,0.19,0.004566127,0.003580665,1.676666667,0.5,60.63333333,50.23333333,52.33333333,0.035068404,0.004432617,52.03333333,-0.002325545,0.027891144,0.008491433,0.002546936,65.63333333,0.00516726,0.001337138,66.5,-0.000758196,0.004662924,0.010546846,2.666666667
11\1\1961,0.008787479,-0.001067258,0.716666667,-0.005191127,0.001730758,0.004316328,0.000315009,0.008646937,0.01496903,80.6409,-0.566666667,3.142493751,0.000434077,-0.001098349,0.003260766,0.001388224,0.020472752,-0.006666667,0.000297305,0.0036618,1.513333333,-0.533333333,61.8,53.1,54.56666667,0.007340212,0.004724175,55.8,0.013256352,0.010258693,0.009386385,0.005481816,68.93333333,0.004571508,0.003627724,63.56666667,-0.001338813,0.009625529,0.021208681,3.666666667
